name,date,public,country
Good Friday,2019-04-19,True,AO
Labor Day,2019-05-01,True,AO
Mother's Day,2019-05-05,False,AO
June Solstice,2019-06-21,False,AO
International Asteroid Day,2019-06-30,False,AO
Nelson Mandela International Day,2019-07-18,False,AO
National Hero Day,2019-09-17,True,AO
September Equinox,2019-09-23,False,AO
All Souls' Day,2019-11-02,True,AO
Independence Day,2019-11-11,True,AO
December Solstice,2019-12-22,False,AO
Christmas Eve,2019-12-24,False,AO
Christmas Day,2019-12-25,True,AO
New Year's Eve,2019-12-31,False,AO
New Year's Day,2019-01-01,True,AI
March Equinox,2019-03-20,False,AI
Constitution Day,2019-04-01,True,AI
Good Friday,2019-04-19,True,AI
Easter,2019-04-21,False,AI
Easter Monday,2019-04-22,True,AI
Labor Day,2019-05-01,True,AI
Mother's Day,2019-05-12,False,AI
Anguilla Day,2019-05-30,True,AI
Pentecost Monday,2019-06-10,True,AI
Sovereignty Day,2019-06-10,True,AI
June Solstice,2019-06-21,False,AI
September Equinox,2019-09-23,False,AI
National Heroes' Day,2019-12-19,True,AI
December Solstice,2019-12-22,False,AI
Christmas Eve,2019-12-24,False,AI
Christmas Day,2019-12-25,True,AI
Boxing Day,2019-12-26,True,AI
New Year's Eve,2019-12-31,False,AI
New Year's Day,2019-01-01,False,AQ
March Equinox,2019-03-20,False,AQ
June Solstice,2019-06-21,False,AQ
September Equinox,2019-09-23,False,AQ
December Solstice,2019-12-22,False,AQ
New Year's Eve,2019-12-31,False,AQ
New Year's Day,2019-01-01,True,AG
World Wildlife Day,2019-03-03,False,AG
Shrove Tuesday,2019-03-05,True,AG
Ash Wednesday,2019-03-06,True,AG
March Equinox,2019-03-20,False,AG
Good Friday,2019-04-19,True,AG
Easter,2019-04-21,False,AG
Easter Monday,2019-04-22,True,AG
Labor Day,2019-05-01,True,AG
Mother's Day,2019-05-12,False,AG
Pentecost Monday,2019-06-10,True,AG
Father's Day,2019-06-16,False,AG
June Solstice,2019-06-21,False,AG
International Asteroid Day,2019-06-30,False,AG
Nelson Mandela International Day,2019-07-18,False,AG
September Equinox,2019-09-23,False,AG
Independence Day,2019-11-01,True,AG
V.C. Bird Day,2019-12-09,True,AG
December Solstice,2019-12-22,False,AG
Christmas Eve,2019-12-24,False,AG
Christmas Day,2019-12-25,True,AG
Boxing Day,2019-12-26,True,AG
New Year's Eve,2019-12-31,False,AG
New Year's Day,2019-01-01,True,AR
World Wildlife Day,2019-03-03,False,AR
Shrove Monday,2019-03-04,True,AR
Shrove Tuesday,2019-03-05,True,AR
March Equinox,2019-03-20,False,AR
Day of Remembrance for Truth and Justice,2019-03-24,True,AR
Day of the Veterans and Fallen of the Falklands War,2019-04-02,True,AR
Maundy Thursday,2019-04-18,True,AR
Good Friday,2019-04-19,True,AR
Passover,2019-04-20,True,AR
Easter,2019-04-21,True,AR
Second Day of Passover,2019-04-21,True,AR
Third Day of Passover,2019-04-22,False,AR
Fourth Day of Passover,2019-04-23,False,AR
Day of Action for Tolerance and Respect among Peoples,2019-04-24,True,AR
Fifth Day of Passover,2019-04-24,True,AR
Sixth Day of Passover,2019-04-25,True,AR
Seventh Day of Passover,2019-04-26,True,AR
Last Day of Passover,2019-04-27,True,AR
Labor Day,2019-05-01,True,AR
May Revolution,2019-05-25,True,AR
Festival of Breaking the Fast,2019-06-04,True,AR
Father's Day,2019-06-16,False,AR
Anniversary of the Passing of General Martín Miguel de Güemes,2019-06-17,True,AR
General Manuel Belgrano Memorial Day,2019-06-20,True,AR
June Solstice,2019-06-21,False,AR
International Asteroid Day,2019-06-30,False,AR
Independence Day Bridge Holiday,2019-07-08,True,AR
Independence Day,2019-07-09,True,AR
Nelson Mandela International Day,2019-07-18,False,AR
Feast of the Sacrifice,2019-08-11,True,AR
General José de San Martín Memorial Day,2019-08-17,True,AR
Islamic New Year's Day,2019-08-31,True,AR
September Equinox,2019-09-23,False,AR
Jewish New Year's Eve,2019-09-29,False,AR
Jewish New Year's Day,2019-09-30,True,AR
Second Day of the Jewish New Year,2019-10-01,True,AR
Day of Atonement,2019-10-09,True,AR
Day of Respect for Cultural Diversity,2019-10-12,True,AR
Mother's Day,2019-10-20,False,AR
National Sovereignty Day,2019-11-20,True,AR
Feast of the Immaculate Conception,2019-12-08,True,AR
December Solstice,2019-12-22,False,AR
Christmas Eve,2019-12-24,False,AR
Christmas Day,2019-12-25,True,AR
New Year's Eve,2019-12-31,False,AR
New Year's Day,2019-01-01,True,AM
Second Day of the New Year,2019-01-02,True,AM
Third Day of the New Year,2019-01-03,True,AM
Fourth Day of the New Year,2019-01-04,True,AM
Orthodox Christmas Eve,2019-01-05,True,AM
Orthodox Christmas Day,2019-01-06,True,AM
The Day of Commemoration of All Dead People after Christmas Day,2019-01-07,True,AM
Army Day,2019-01-28,True,AM
World Wildlife Day,2019-03-03,False,AM
International Women's Day,2019-03-08,True,AM
Mother's Day,2019-03-08,False,AM
March Equinox,2019-03-20,False,AM
Armenian Genocide Remembrance Day,2019-04-24,True,AM
International Workers' Day,2019-05-01,True,AM
Victory and Peace Day,2019-05-09,True,AM
Republic Day,2019-05-28,True,AM
June Solstice,2019-06-21,False,AM
International Asteroid Day,2019-06-30,False,AM
Constitution Day,2019-07-05,True,AM
Nelson Mandela International Day,2019-07-18,False,AM
Independence Day,2019-09-21,True,AM
September Equinox,2019-09-23,False,AM
December Solstice,2019-12-22,False,AM
New Year's Eve,2019-12-31,True,AM
New Year's Day,2019-01-01,True,AW
Betico Croes' Birthday,2019-01-25,True,AW
Shrove Monday,2019-03-04,True,AW
National Anthem and Flag Day,2019-03-18,True,AW
March Equinox,2019-03-20,False,AW
Good Friday,2019-04-19,True,AW
Easter Monday,2019-04-22,True,AW
King's Day,2019-04-27,True,AW
Labor Day,2019-05-01,True,AW
Mother's Day,2019-05-12,False,AW
Feast of the Ascension of Jesus Christ,2019-05-30,True,AW
Father's Day,2019-06-16,False,AW
June Solstice,2019-06-21,False,AW
September Equinox,2019-09-23,False,AW
December Solstice,2019-12-22,False,AW
Christmas Eve,2019-12-24,False,AW
Christmas Day,2019-12-25,True,AW
Boxing Day,2019-12-26,True,AW
New Year's Eve,2019-12-31,False,AW
New Year's Day,2019-01-01,True,AU
Australia Day,2019-01-26,True,AU
Valentine's Day,2019-02-14,False,AU
World Wildlife Day,2019-03-03,False,AU
Saint Patrick's Day,2019-03-17,False,AU
March Equinox,2019-03-20,False,AU
Harmony Day,2019-03-21,False,AU
National Close the Gap Day,2019-03-21,False,AU
Good Friday,2019-04-19,True,AU
Easter,2019-04-21,False,AU
Easter Monday,2019-04-22,True,AU
ANZAC Day,2019-04-25,True,AU
Mother's Day,2019-05-12,False,AU
June Solstice,2019-06-21,False,AU
International Asteroid Day,2019-06-30,False,AU
Nelson Mandela International Day,2019-07-18,False,AU
Father's Day,2019-09-01,False,AU
September Equinox,2019-09-23,False,AU
December Solstice,2019-12-22,False,AU
Christmas Eve,2019-12-24,False,AU
Christmas Day,2019-12-25,True,AU
Boxing Day,2019-12-26,True,AU
New Year's Day,2019-01-01,True,AT
Epiphany,2019-01-06,True,AT
World Wildlife Day,2019-03-03,False,AT
March Equinox,2019-03-20,False,AT
Easter,2019-04-21,False,AT
Easter Monday,2019-04-22,True,AT
Labor Day,2019-05-01,True,AT
Mother's Day,2019-05-12,False,AT
Feast of the Ascension of Jesus Christ,2019-05-30,True,AT
Pentecost Monday,2019-06-10,True,AT
Father's Day,2019-06-16,False,AT
Feast of Corpus Christi,2019-06-20,True,AT
June Solstice,2019-06-21,False,AT
International Asteroid Day,2019-06-30,False,AT
Nelson Mandela International Day,2019-07-18,False,AT
Assumption of Mary,2019-08-15,True,AT
September Equinox,2019-09-23,False,AT
National Day,2019-10-26,True,AT
All Saints' Day,2019-11-01,True,AT
Feast of the Immaculate Conception,2019-12-08,True,AT
December Solstice,2019-12-22,False,AT
Christmas Eve,2019-12-24,False,AT
Christmas Day,2019-12-25,True,AT
Saint Stephen's Day,2019-12-26,True,AT
New Year's Eve,2019-12-31,False,AT
New Year's Day,2019-01-01,True,AZ
Second Day of the New Year,2019-01-02,True,AZ
Martyrs' Day,2019-01-20,True,AZ
World Wildlife Day,2019-03-03,False,AZ
International Women's Day,2019-03-08,True,AZ
Mother's Day,2019-03-08,False,AZ
March Equinox,2019-03-20,False,AZ
Spring Festival,2019-03-20,True,AZ
Second Day of the Spring Festival,2019-03-21,True,AZ
Third Day of the Spring Festival,2019-03-22,True,AZ
Fourth Day of the Spring Festival,2019-03-23,True,AZ
Fifth Day of the Spring Festival,2019-03-24,True,AZ
Victory Day,2019-05-09,True,AZ
Republic Day,2019-05-28,True,AZ
National Salvation Day,2019-06-15,True,AZ
June Solstice,2019-06-21,False,AZ
Azerbaijan Armed Forces Day,2019-06-26,True,AZ
International Asteroid Day,2019-06-30,False,AZ
Nelson Mandela International Day,2019-07-18,False,AZ
September Equinox,2019-09-23,False,AZ
Flag Day,2019-11-09,True,AZ
December Solstice,2019-12-22,False,AZ
International Solidarity Day of Azerbaijanis,2019-12-31,True,AZ
New Year's Eve,2019-12-31,False,AZ
New Year's Day,2019-01-01,True,BS
Majority Rule Day,2019-01-10,True,BS
World Wildlife Day,2019-03-03,False,BS
March Equinox,2019-03-20,False,BS
Good Friday,2019-04-19,True,BS
Easter,2019-04-21,False,BS
Easter Monday,2019-04-22,True,BS
Mother's Day,2019-05-12,False,BS
Labor Day,2019-06-07,True,BS
Pentecost Monday,2019-06-10,True,BS
Father's Day,2019-06-16,False,BS
June Solstice,2019-06-21,False,BS
International Asteroid Day,2019-06-30,False,BS
Independence Day,2019-07-10,True,BS
Nelson Mandela International Day,2019-07-18,False,BS
Emancipation Day,2019-08-05,True,BS
September Equinox,2019-09-23,False,BS
National Heroes' Day,2019-10-12,True,BS
December Solstice,2019-12-22,False,BS
Christmas Eve,2019-12-24,False,BS
Christmas Day,2019-12-25,True,BS
Boxing Day,2019-12-26,True,BS
New Year's Eve,2019-12-31,False,BS
New Year's Day,2019-01-01,True,BH
World Wildlife Day,2019-03-03,False,BH
Father's Day,2019-03-19,False,BH
March Equinox,2019-03-20,False,BH
Mother's Day,2019-03-21,False,BH
Labor Day,2019-05-01,True,BH
Festival of Breaking the Fast,2019-06-04,True,BH
Second Day of the Festival of Breaking the Fast,2019-06-05,True,BH
Third Day of the Festival of Breaking the Fast,2019-06-06,True,BH
June Solstice,2019-06-21,False,BH
International Asteroid Day,2019-06-30,False,BH
Nelson Mandela International Day,2019-07-18,False,BH
Day of Arafah,2019-08-10,True,BH
Feast of the Sacrifice,2019-08-11,True,BH
Second Day of the Feast of the Sacrifice,2019-08-12,True,BH
Third Day of the Feast of the Sacrifice,2019-08-13,True,BH
Islamic New Year's Day,2019-08-31,True,BH
Ashura Eve,2019-09-08,True,BH
Ashura,2019-09-09,True,BH
September Equinox,2019-09-23,False,BH
Birth of the Prophet,2019-11-09,True,BH
National Day,2019-12-16,True,BH
Accession Day,2019-12-17,True,BH
December Solstice,2019-12-22,False,BH
New Year's Eve,2019-12-31,False,BH
New Year's Day,2019-01-01,False,BD
International Mother Language Day,2019-02-21,True,BD
Language Martyrs' Day ,2019-02-21,True,BD
World Wildlife Day,2019-03-03,False,BD
Children's Day,2019-03-17,True,BD
Mujib's Birthday,2019-03-17,True,BD
March Equinox,2019-03-20,False,BD
Independence Day,2019-03-26,True,BD
Bengali New Year's Day,2019-04-14,True,BD
Labor Day,2019-05-01,True,BD
Mother's Day,2019-05-12,False,BD
June Solstice,2019-06-21,False,BD
International Asteroid Day,2019-06-30,False,BD
Nelson Mandela International Day,2019-07-18,False,BD
National Mourning Day,2019-08-15,True,BD
September Equinox,2019-09-23,False,BD
Victory Day,2019-12-02,True,BD
December Solstice,2019-12-22,False,BD
New Year's Eve,2019-12-31,False,BD
New Year's Day,2019-01-01,True,BB
Errol Barrow Day,2019-01-21,True,BB
World Wildlife Day,2019-03-03,False,BB
March Equinox,2019-03-20,False,BB
Good Friday,2019-04-19,True,BB
Easter,2019-04-21,False,BB
Easter Monday,2019-04-22,True,BB
National Heroes' Day,2019-04-28,True,BB
Labor Day,2019-05-01,True,BB
Mother's Day,2019-05-12,False,BB
Pentecost Monday,2019-06-10,True,BB
Father's Day,2019-06-16,False,BB
June Solstice,2019-06-21,False,BB
International Asteroid Day,2019-06-30,False,BB
Nelson Mandela International Day,2019-07-18,False,BB
Emancipation Day,2019-08-01,False,BB
Kadooment Day,2019-08-05,False,BB
September Equinox,2019-09-23,False,BB
Independence Day,2019-11-30,True,BB
December Solstice,2019-12-22,False,BB
Christmas Eve,2019-12-24,False,BB
Christmas Day,2019-12-25,True,BB
Boxing Day,2019-12-26,True,BB
New Year's Eve,2019-12-31,False,BB
New Year's Day,2019-01-01,True,BY
Orthodox Christmas Eve,2019-01-06,False,BY
Orthodox Christmas Day,2019-01-07,True,BY
Defender of the Fatherland Day,2019-02-23,False,BY
World Wildlife Day,2019-03-03,False,BY
International Women's Day,2019-03-08,True,BY
March Equinox,2019-03-20,False,BY
International Labor Day,2019-05-01,True,BY
Commemoration Day,2019-05-07,True,BY
Victory Day,2019-05-09,True,BY
June Solstice,2019-06-21,False,BY
International Asteroid Day,2019-06-30,False,BY
Independence Day,2019-07-03,True,BY
Nelson Mandela International Day,2019-07-18,False,BY
September Equinox,2019-09-23,False,BY
Mother's Day,2019-10-14,False,BY
October Revolution Day,2019-11-07,True,BY
December Solstice,2019-12-22,False,BY
Christmas Eve,2019-12-24,False,BY
Christmas Day,2019-12-25,True,BY
New Year's Eve,2019-12-31,False,BY
New Year's Day,2019-01-01,True,BE
Epiphany,2019-01-06,False,BE
Valentine's Day,2019-02-14,False,BE
World Wildlife Day,2019-03-03,False,BE
Shrove Tuesday,2019-03-05,False,BE
March Equinox,2019-03-20,False,BE
Good Friday,2019-04-19,False,BE
Easter,2019-04-21,True,BE
Easter Monday,2019-04-22,True,BE
Labor Day,2019-05-01,True,BE
Mother's Day,2019-05-12,False,BE
Feast of the Ascension of Jesus Christ,2019-05-30,True,BE
Father's Day,2019-06-09,False,BE
Pentecost,2019-06-09,True,BE
Pentecost Monday,2019-06-10,True,BE
June Solstice,2019-06-21,False,BE
International Asteroid Day,2019-06-30,False,BE
Day of the Flemish Community,2019-07-11,False,BE
Nelson Mandela International Day,2019-07-18,False,BE
Belgian National Day,2019-07-21,True,BE
Assumption of Mary,2019-08-15,True,BE
Day of the Walloon Region,2019-09-15,False,BE
September Equinox,2019-09-23,False,BE
French Community Holiday,2019-09-27,False,BE
Halloween,2019-10-31,False,BE
All Saints' Day,2019-11-01,True,BE
All Souls' Day,2019-11-02,False,BE
Armistice Day,2019-11-11,True,BE
Day of the German-speaking Community,2019-11-15,False,BE
King's Feast,2019-11-15,False,BE
Saint Nicholas' Day,2019-12-06,False,BE
December Solstice,2019-12-22,False,BE
Christmas Eve,2019-12-24,False,BE
Christmas Day,2019-12-25,True,BE
New Year's Eve,2019-12-31,False,BE
New Year's Day,2019-01-01,True,BZ
World Wildlife Day,2019-03-03,False,BZ
Baron Bliss Day,2019-03-09,True,BZ
March Equinox,2019-03-20,False,BZ
Good Friday,2019-04-19,True,BZ
Holy Saturday,2019-04-20,True,BZ
Easter,2019-04-21,True,BZ
Easter Monday,2019-04-22,True,BZ
Labor Day,2019-05-01,True,BZ
Mother's Day,2019-05-12,False,BZ
Commonwealth Day,2019-05-24,True,BZ
Father's Day,2019-06-16,False,BZ
June Solstice,2019-06-21,False,BZ
International Asteroid Day,2019-06-30,False,BZ
Nelson Mandela International Day,2019-07-18,False,BZ
Saint George's Caye Day,2019-09-10,True,BZ
Independence Day,2019-09-21,True,BZ
September Equinox,2019-09-23,False,BZ
Day of the Americas,2019-10-12,True,BZ
Garifuna Settlement Day,2019-11-19,True,BZ
December Solstice,2019-12-22,False,BZ
Christmas Eve,2019-12-24,False,BZ
Christmas Day,2019-12-25,True,BZ
Boxing Day,2019-12-26,True,BZ
New Year's Eve,2019-12-31,False,BZ
New Year's Day,2019-01-01,True,BJ
Traditional Day,2019-01-10,True,BJ
World Wildlife Day,2019-03-03,False,BJ
March Equinox,2019-03-20,False,BJ
Easter,2019-04-21,True,BJ
Easter Monday,2019-04-22,True,BJ
Labor Day,2019-05-01,True,BJ
Mother's Day,2019-05-14,False,BJ
Feast of the Ascension of Jesus Christ,2019-05-30,True,BJ
Festival of Breaking the Fast,2019-06-04,True,BJ
Pentecost Monday,2019-06-10,True,BJ
June Solstice,2019-06-21,False,BJ
International Asteroid Day,2019-06-30,False,BJ
Nelson Mandela International Day,2019-07-18,False,BJ
Independence Day,2019-08-01,True,BJ
Feast of the Sacrifice,2019-08-11,True,BJ
Assumption of Mary,2019-08-15,True,BJ
September Equinox,2019-09-23,False,BJ
Armed Forces Day,2019-10-26,True,BJ
All Saints' Day,2019-11-01,True,BJ
Birth of the Prophet,2019-11-09,True,BJ
National Day,2019-11-30,True,BJ
December Solstice,2019-12-22,False,BJ
Christmas Eve,2019-12-24,False,BJ
Christmas Day,2019-12-25,True,BJ
Boxing Day,2019-12-26,True,BJ
New Year's Eve,2019-12-31,False,BJ
New Year's Day,2019-01-01,True,BM
March Equinox,2019-03-20,False,BM
Good Friday,2019-04-19,True,BM
Mother's Day,2019-05-12,False,BM
Bermuda Day,2019-05-31,True,BM
Father's Day,2019-06-16,False,BM
National Heroes' Day,2019-06-17,True,BM
June Solstice,2019-06-21,False,BM
Emancipation Day,2019-08-01,True,BM
Somers' Day,2019-08-02,True,BM
Labor Day,2019-09-02,True,BM
September Equinox,2019-09-23,False,BM
Remembrance Day,2019-11-11,True,BM
December Solstice,2019-12-22,False,BM
Christmas Eve,2019-12-24,False,BM
Christmas Day,2019-12-25,True,BM
Boxing Day,2019-12-26,True,BM
New Year's Eve,2019-12-31,False,BM
New Year's Day,2019-01-01,False,BT
Winter Solstice,2019-01-02,True,BT
Losar,2019-02-05,True,BT
Nirvana Day,2019-02-15,True,BT
Traditional Day of Offering,2019-02-16,True,BT
Birth of King Jigme Khesar Namgyel Wangchuck,2019-02-21,True,BT
Second Day of the Birth of King Jigme Khesar Namgyel Wangchuck,2019-02-22,True,BT
Third Day of the Birth of King Jigme Khesar Namgyel Wangchuck,2019-02-23,True,BT
World Wildlife Day,2019-03-03,False,BT
March Equinox,2019-03-20,False,BT
Birth of King Jigme Dorji Wangchuck,2019-05-02,True,BT
Mother's Day,2019-05-12,False,BT
Passing of Zhabdrung Ngawang Namgyal,2019-05-14,True,BT
Coronation of King Jigme Singye Wangchuck,2019-06-02,True,BT
June Solstice,2019-06-21,False,BT
International Asteroid Day,2019-06-30,False,BT
Birth of Guru Rinpoche,2019-07-10,True,BT
Nelson Mandela International Day,2019-07-18,False,BT
First Sermon of Buddha,2019-08-03,True,BT
September Equinox,2019-09-23,False,BT
Dashain,2019-10-06,True,BT
Lhabab Duchen,2019-10-20,True,BT
Coronation of King Jigme Khesar Namgyel Wangchuck,2019-11-01,True,BT
Birth of King Jigme Singye Wangchuck,2019-11-11,True,BT
National Day,2019-12-17,True,BT
December Solstice,2019-12-22,False,BT
New Year's Eve,2019-12-31,False,BT
New Year's Day,2019-01-01,True,BO
Feast of the Virgin of Candelaria,2019-02-02,True,BO
World Wildlife Day,2019-03-03,False,BO
Shrove Tuesday,2019-03-05,True,BO
Father's Day,2019-03-19,False,BO
March Equinox,2019-03-20,False,BO
Good Friday,2019-04-19,True,BO
Labor Day,2019-05-01,True,BO
Mother's Day,2019-05-27,False,BO
Feast of Corpus Christi,2019-06-20,True,BO
Andean New Year's Day,2019-06-21,True,BO
June Solstice,2019-06-21,False,BO
International Asteroid Day,2019-06-30,False,BO
Nelson Mandela International Day,2019-07-18,False,BO
"Day of the Agrarian, Productive and Community Revolution",2019-08-02,True,BO
National Day,2019-08-06,True,BO
September Equinox,2019-09-23,False,BO
All Saints' Day,2019-11-02,True,BO
December Solstice,2019-12-22,False,BO
Christmas Eve,2019-12-24,False,BO
Christmas Day,2019-12-25,True,BO
New Year's Eve,2019-12-31,False,BO
New Year's Day,2019-01-01,True,BQ
March Equinox,2019-03-20,False,BQ
Good Friday,2019-04-19,True,BQ
Easter,2019-04-21,True,BQ
Easter Monday,2019-04-22,True,BQ
King's Birthday,2019-04-27,True,BQ
Labor Day,2019-05-01,True,BQ
Feast of the Ascension of Jesus Christ,2019-05-30,True,BQ
Pentecost,2019-06-09,True,BQ
June Solstice,2019-06-21,False,BQ
September Equinox,2019-09-23,False,BQ
December Solstice,2019-12-22,False,BQ
Christmas Eve,2019-12-24,False,BQ
Christmas Day,2019-12-25,True,BQ
Day after Christmas,2019-12-26,True,BQ
New Year's Eve,2019-12-31,False,BQ
New Year's Day,2019-01-01,True,BA
Second Day of the New Year,2019-01-02,True,BA
Epiphany,2019-01-06,False,BA
Independence Day,2019-03-01,True,BA
World Wildlife Day,2019-03-03,False,BA
Mother's Day,2019-03-08,False,BA
March Equinox,2019-03-20,False,BA
Easter,2019-04-21,False,BA
Easter Monday,2019-04-22,False,BA
Labor Day,2019-05-01,True,BA
Second Day of Labor Day,2019-05-02,True,BA
Festival of Breaking the Fast,2019-06-04,False,BA
Father's Day,2019-06-16,False,BA
Feast of Corpus Christi,2019-06-20,False,BA
June Solstice,2019-06-21,False,BA
International Asteroid Day,2019-06-30,False,BA
Nelson Mandela International Day,2019-07-18,False,BA
Feast of the Sacrifice,2019-08-11,False,BA
Assumption of Mary,2019-08-15,False,BA
