CountryName,RegionName,Date,PredictedNewCases
Aruba,,2020-08-01,36.97432703121546
Aruba,,2020-08-02,40.82571889683008
Aruba,,2020-08-03,39.00155848076339
Aruba,,2020-08-04,37.471016230849514
Aruba,,2020-08-05,38.088621080325765
Aruba,,2020-08-06,39.18813817161799
Aruba,,2020-08-07,37.89193329405863
Aruba,,2020-08-08,38.980765359209734
Aruba,,2020-08-09,42.76946059656962
Aruba,,2020-08-10,42.47295030636633
Afghanistan,,2020-08-01,163.9011800387384
Afghanistan,,2020-08-02,171.64308454558443
Afghanistan,,2020-08-03,165.5573596365428
Afghanistan,,2020-08-04,160.72276166832216
Afghanistan,,2020-08-05,167.5292803113956
Afghanistan,,2020-08-06,169.9907868085004
Afghanistan,,2020-08-07,157.53630261522443
Afghanistan,,2020-08-08,164.21529061005168
Afghanistan,,2020-08-09,176.6024863603904
Afghanistan,,2020-08-10,174.77762537829574
Angola,,2020-08-01,103.011871503107
Angola,,2020-08-02,114.00381418551
Angola,,2020-08-03,108.6334029236115
Angola,,2020-08-04,108.43309295483776
Angola,,2020-08-05,109.0865563121736
Angola,,2020-08-06,113.47696090875584
Angola,,2020-08-07,106.92536024245616
Angola,,2020-08-08,106.06504638603047
Angola,,2020-08-09,108.18449203093203
Angola,,2020-08-10,107.6169791837519
Anguilla,,2020-08-01,22.363098106310645
Anguilla,,2020-08-02,23.029405140487995
Anguilla,,2020-08-03,22.34957465421587
Anguilla,,2020-08-04,21.776692775916786
Anguilla,,2020-08-05,21.74221449856691
Anguilla,,2020-08-06,21.965426020333837
Anguilla,,2020-08-07,22.054977816857047
Anguilla,,2020-08-08,22.40081883872017
Anguilla,,2020-08-09,22.98753995515318
Anguilla,,2020-08-10,23.84126145097349
Albania,,2020-08-01,144.4882287977406
Albania,,2020-08-02,152.3155520954009
Albania,,2020-08-03,148.6207266119369
Albania,,2020-08-04,144.887721874097
Albania,,2020-08-05,147.64778096665253
Albania,,2020-08-06,152.05019819476183
Albania,,2020-08-07,147.49847563336368
Albania,,2020-08-08,147.69159023804917
Albania,,2020-08-09,147.70407432779203
Albania,,2020-08-10,149.6454520996606
Andorra,,2020-08-01,53.99799057172251
Andorra,,2020-08-02,59.364507342335074
Andorra,,2020-08-03,55.95207037329083
Andorra,,2020-08-04,55.102834862155206
Andorra,,2020-08-05,56.39270990695081
Andorra,,2020-08-06,58.11151301347276
Andorra,,2020-08-07,54.57833220366777
Andorra,,2020-08-08,55.96951241080109
Andorra,,2020-08-09,59.72235878700087
Andorra,,2020-08-10,59.92213186419063
United Arab Emirates,,2020-08-01,451.61145840701533
United Arab Emirates,,2020-08-02,467.54132747130694
United Arab Emirates,,2020-08-03,462.9064938415996
United Arab Emirates,,2020-08-04,468.2929545250622
United Arab Emirates,,2020-08-05,469.5495579078827
United Arab Emirates,,2020-08-06,473.23432414468186
United Arab Emirates,,2020-08-07,469.0287509804845
United Arab Emirates,,2020-08-08,460.3842747050542
United Arab Emirates,,2020-08-09,452.7292384852438
United Arab Emirates,,2020-08-10,455.70557589085655
Argentina,,2020-08-01,5841.29727857103
Argentina,,2020-08-02,6280.968360829174
Argentina,,2020-08-03,6147.72493825789
Argentina,,2020-08-04,6098.50059879939
Argentina,,2020-08-05,6148.041610104059
Argentina,,2020-08-06,6270.269617823635
Argentina,,2020-08-07,5852.419318652501
Argentina,,2020-08-08,5835.163578234002
Argentina,,2020-08-09,5887.674993308636
Argentina,,2020-08-10,5904.613329412028
Australia,,2020-08-01,571.1467947361233
Australia,,2020-08-02,587.6925936821394
Australia,,2020-08-03,574.0182704555345
Australia,,2020-08-04,578.4140476214727
Australia,,2020-08-05,584.9162852630736
Australia,,2020-08-06,596.5218132464711
Australia,,2020-08-07,591.5415841538181
Australia,,2020-08-08,587.0228022584387
Australia,,2020-08-09,584.461802898921
Australia,,2020-08-10,575.226883852924
Austria,,2020-08-01,177.91217331509148
Austria,,2020-08-02,190.71239955546883
Austria,,2020-08-03,182.40274292895054
Austria,,2020-08-04,185.23045968084003
Austria,,2020-08-05,190.7235266476038
Austria,,2020-08-06,196.75144989632736
Austria,,2020-08-07,182.6169243450831
Austria,,2020-08-08,176.35428544452722
Austria,,2020-08-09,176.96107294768072
Austria,,2020-08-10,178.5338301117647
Azerbaijan,,2020-08-01,402.18337026346825
Azerbaijan,,2020-08-02,412.19272871640396
Azerbaijan,,2020-08-03,410.3656385125114
Azerbaijan,,2020-08-04,401.5067726500537
Azerbaijan,,2020-08-05,407.24071255295826
Azerbaijan,,2020-08-06,412.7905801236995
Azerbaijan,,2020-08-07,411.6819044461727
Azerbaijan,,2020-08-08,415.7282997757917
Azerbaijan,,2020-08-09,425.8487696540602
Azerbaijan,,2020-08-10,423.7694935179456
Burundi,,2020-08-01,27.498938933104693
Burundi,,2020-08-02,26.322873855230952
Burundi,,2020-08-03,25.626440225136253
Burundi,,2020-08-04,26.028585100797095
Burundi,,2020-08-05,25.914606204354925
Burundi,,2020-08-06,25.432200824760663
Burundi,,2020-08-07,26.171623610486083
Burundi,,2020-08-08,27.261314889067126
